Ground truth: 1 || Model output: Choice: 0
Ground truth: 1 || Model output: Choice: 1
Ground truth: 1 || Model output: Choice: 0
Ground truth: 1 || Model output: Choice: 0
Ground truth: 1 || Model output: Choice: 0
Ground truth: 1 || Model output: Choice: 1
Ground truth: 1 || Model output: Choice: 1
Ground truth: 1 || Model output: Choice: 1
Ground truth: 1 || Model output: Choice: 0
Ground truth: 1 || Model output: Choice: 1
Ground truth: 1 || Model output: Choice: 1
Ground truth: 1 || Model output: Choice: 1
Ground truth: 1 || Model output: Choice: 1
Ground truth: 1 || Model output: Choice: 1
